transaction_id,user_id,amount,transaction_date,currency,name,status,updated_at,Date_x,Date_y,Date,exchange_rate,amount_usd
TXN00001,117,4279.84,2025-01-26,EUR,Nisha,Inactive,2025-05-25,,,,,
TXN00002,126,1716.44,2025-02-03,EUR,Nisha,Inactive,2025-04-28,2025-02-03,2025-02-03,2025-02-03,83.93,20.450851900393182
TXN00003,128,3639.62,2025-06-24,EUR,Vikas,Inactive,2025-01-11,2025-06-24,2025-06-24,2025-06-24,83.32,43.68242918867019
TXN00004,129,85.5,2025-04-09,EUR,Pooja,Inactive,2025-01-28,2025-04-09,2025-04-09,2025-04-09,84.97,1.0062374955866777
TXN00005,191,4160.22,2025-05-21,EUR,Rohan,Inactive,2025-02-15,2025-05-21,2025-05-21,2025-05-21,84.58,49.18680539134547
TXN00006,193,1161.44,2025-06-16,EUR,Kriti,Active,2025-06-12,2025-06-16,2025-06-16,2025-06-16,83.79,13.861319966583125
TXN00007,131,2794.82,2025-04-23,EUR,Vikas,Active,2025-02-02,2025-04-23,2025-04-23,2025-04-23,84.96,32.89571563088513
TXN00008,168,1312.73,2025-03-26,EUR,Sneha,Inactive,2025-06-28,2025-03-26,2025-03-26,2025-03-26,83.51,15.719434798227756
TXN00009,193,4965.59,2025-04-04,EUR,Kriti,Active,2025-06-12,2025-04-04,2025-04-04,2025-04-04,83.52,59.45390325670498
TXN00010,145,4528.88,2025-06-16,EUR,Isha,Active,2025-03-04,2025-06-16,2025-06-16,2025-06-16,83.79,54.05036400525122
TXN00011,131,1334.76,2025-06-03,EUR,Vikas,Active,2025-02-02,2025-06-03,2025-06-03,2025-06-03,84.29,15.83533040692846
TXN00012,140,211.96,2025-06-22,EUR,Amit,Active,2025-04-18,,,,,
TXN00013,176,1622.39,2025-03-03,EUR,Karan,Active,2025-03-21,2025-03-03,2025-03-03,2025-03-03,84.38,19.2271865370941
TXN00014,121,2757.65,2025-06-14,EUR,Manav,Active,2025-06-20,,,,,
TXN00015,133,3847.88,2025-06-05,EUR,Meera,Inactive,2025-01-20,2025-06-05,2025-06-05,2025-06-05,83.11,46.29864035615449
TXN00016,128,524.04,2025-02-11,EUR,Vikas,Inactive,2025-01-11,2025-02-11,2025-02-11,2025-02-11,83.53,6.273674129055428
TXN00017,145,1316.38,2025-02-19,EUR,Isha,Active,2025-03-04,2025-02-19,2025-02-19,2025-02-19,84.32,15.611717267552185
TXN00018,143,3026.61,2025-02-23,EUR,Meera,Inactive,2025-05-22,,,,,
TXN00019,173,682.01,2025-04-18,EUR,Dev,Active,2025-04-19,2025-04-18,2025-04-18,2025-04-18,83.41,8.176597530272149
TXN00020,102,16.23,2025-04-02,EUR,Dev,Active,2025-01-02,2025-04-02,2025-04-02,2025-04-02,84.56,0.19193472090823085
TXN00021,152,3264.5,2025-05-03,EUR,Vikas,Inactive,2025-03-17,,,,,
TXN00022,176,4052.17,2025-06-22,EUR,Karan,Active,2025-03-21,,,,,
TXN00023,171,4619.16,2025-01-10,EUR,Pooja,Inactive,2025-03-06,2025-01-10,2025-01-10,2025-01-10,83.92,55.04242135367016
TXN00024,190,577.12,2025-05-25,EUR,Karan,Inactive,2025-03-07,,,,,
TXN00025,140,3524.33,2025-05-27,EUR,Amit,Active,2025-04-18,2025-05-27,2025-05-27,2025-05-27,83.58,42.167145250059825
TXN00026,166,444.71,2025-06-26,EUR,Arjun,Active,2025-03-10,2025-06-26,2025-06-26,2025-06-26,84.48,5.264086174242424
TXN00027,168,284.26,2025-02-15,EUR,Sneha,Inactive,2025-06-28,,,,,
TXN00028,180,1381.07,2025-03-11,EUR,Rahul,Active,2025-05-26,2025-03-11,2025-03-11,2025-03-11,84.24,16.39446818613485
TXN00029,190,124.96,2025-05-15,EUR,Karan,Inactive,2025-03-07,2025-05-15,2025-05-15,2025-05-15,83.8,1.4911694510739857
TXN00030,175,1492.39,2025-01-01,EUR,Isha,Inactive,2025-03-23,2025-01-01,2025-01-01,2025-01-01,83.68,17.834488527724666
TXN00031,152,3556.09,2025-01-03,EUR,Vikas,Inactive,2025-03-17,2025-01-03,2025-01-03,2025-01-03,83.71,42.481065583562305
TXN00032,151,2784.55,2025-04-20,EUR,Kriti,Active,2025-02-09,,,,,
TXN00033,171,720.1,2025-01-15,EUR,Pooja,Inactive,2025-03-06,2025-01-15,2025-01-15,2025-01-15,84.52,8.519876952200663
TXN00034,194,3135.41,2025-04-10,EUR,Aakash,Inactive,2025-02-24,2025-04-10,2025-04-10,2025-04-10,84.34,37.17583590230021
TXN00035,147,376.97,2025-03-20,EUR,Nisha,Active,2025-06-15,2025-03-20,2025-03-20,2025-03-20,84.53,4.459600141961434
TXN00036,125,1420.63,2025-05-22,EUR,Ritika,Active,2025-03-08,2025-05-22,2025-05-22,2025-05-22,83.64,16.985054997608803
TXN00037,190,1702.51,2025-04-05,EUR,Karan,Inactive,2025-03-07,,,,,
